dataset,model_a,model_b,cka_score,mean_cosine_sim,procrustes_distance,dim_a,dim_b
breast-cancer,tabicl_final_probs,tabicl_row_output,0.30792892543010986,-0.11494585871696472,1.0074745416641235,2,128
breast-cancer,tabicl_icl_last_block,tabicl_row_output,0.5011318698851107,0.22902487218379974,0.8076276779174805,512,128
vehicle,tabpfn,tabpfn_final_probs,0.9089521793756036,-0.13046059012413025,0.42678138613700867,192,4
vehicle,tabpfn,tabpfn_last_transformer_layer,0.9999999999660543,1.0,2.3308650948477942e-14,192,192
vehicle,tabpfn,tabicl,0.6969114755006816,0.3813766539096832,0.5755208730697632,192,512
vehicle,tabpfn,tabicl_final_probs,0.9108578725462115,-0.11069730669260025,0.43465083837509155,192,4
vehicle,tabpfn,tabicl_icl_last_block,0.6969114755006816,0.3813766539096832,0.5755208730697632,192,512
vehicle,tabpfn,tabicl_row_output,0.13810354601018882,0.09691901504993439,1.0760990381240845,192,128
vehicle,tabpfn_final_probs,tabpfn_last_transformer_layer,0.9089521793756036,-0.13046059012413025,0.42678141593933105,4,192
vehicle,tabpfn_final_probs,tabicl,0.6143733135819766,-0.14436990022659302,0.7915887236595154,4,512
vehicle,tabpfn_final_probs,tabicl_final_probs,0.9777329872557213,0.9833675622940063,0.18609370291233063,4,4
vehicle,tabpfn_final_probs,tabicl_icl_last_block,0.6143733135819766,-0.14436990022659302,0.7915887236595154,4,512
vehicle,tabpfn_final_probs,tabicl_row_output,0.07564088798591323,-0.029271170496940613,1.2302948236465454,4,128
vehicle,tabpfn_last_transformer_layer,tabicl,0.6969114755006816,0.3813766539096832,0.5755208730697632,192,512
vehicle,tabpfn_last_transformer_layer,tabicl_final_probs,0.9108578725462115,-0.11069730669260025,0.43465083837509155,192,4
vehicle,tabpfn_last_transformer_layer,tabicl_icl_last_block,0.6969114755006816,0.3813766539096832,0.5755208730697632,192,512
vehicle,tabpfn_last_transformer_layer,tabicl_row_output,0.13810354601018882,0.09691901504993439,1.0760990381240845,192,128
vehicle,tabicl,tabicl_final_probs,0.6208978217477522,-0.13962869346141815,0.7812093496322632,512,4
vehicle,tabicl,tabicl_icl_last_block,0.9999999999995325,1.0,6.53899990862958e-15,512,512
vehicle,tabicl,tabicl_row_output,0.19516261488357056,-0.008141569793224335,0.996995747089386,512,128
vehicle,tabicl_final_probs,tabicl_icl_last_block,0.6208978217477525,-0.13962869346141815,0.7812093496322632,4,512
vehicle,tabicl_final_probs,tabicl_row_output,0.08138505543498284,-0.03320518881082535,1.226123571395874,4,128
vehicle,tabicl_icl_last_block,tabicl_row_output,0.19516261488357056,-0.008141569793224335,0.996995747089386,512,128
credit-g,tabpfn,tabpfn_final_probs,0.894625478894388,0.22113865613937378,0.4939395785331726,192,2
credit-g,tabpfn,tabpfn_last_transformer_layer,0.9999999988592323,1.0,2.2268297977605898e-14,192,192
