dataset,model_a,model_b,dim_a,dim_b,cka_score,mean_cosine_sim,procrustes_distance
tabarena_QSAR-TID-11,carte,tabdpt,300,768,0.11010836700518536,0.16995756328105927,1.2409758567810059
tabarena_QSAR_fish_toxicity,carte,tabdpt,300,768,0.24879452910726862,0.11971011757850647,0.9766808152198792
tabarena_SDSS17,carte,tabdpt,300,768,0.57786789488126,-0.10679099708795547,0.7447124123573303
tabarena_airfoil_self_noise,carte,tabdpt,300,768,0.05987812498004474,-0.09788577258586884,1.1928730010986328
tabarena_anneal,carte,tabdpt,300,768,0.34303818189640634,0.24454745650291443,0.9803553819656372
tabarena_bank-marketing,carte,tabdpt,300,768,0.5340752922024359,-0.24803794920444489,0.985430121421814
tabarena_blood-transfusion-service-center,carte,tabdpt,300,768,0.4241968047333378,0.0029677224811166525,0.8912587761878967
tabarena_churn,carte,tabdpt,300,768,0.6072855830608626,0.32301387190818787,0.868462860584259
tabarena_coil2000_insurance_policies,carte,tabdpt,300,768,0.4080453832562177,0.22626496851444244,1.0715868473052979
tabarena_concrete_compressive_strength,carte,tabdpt,300,768,0.11946640417337198,0.13035671412944794,1.1230168342590332
tabarena_credit-g,carte,tabdpt,300,768,0.7361373461144993,0.5350696444511414,0.913944661617279
tabarena_credit_card_clients_default,carte,tabdpt,300,768,0.48985372790707543,-0.17177525162696838,0.9261531829833984
tabarena_customer_satisfaction_in_airline,carte,tabdpt,300,768,0.5646797345125764,0.385360449552536,0.8651460409164429
tabarena_diabetes,carte,tabdpt,300,768,0.5965346148713251,-0.40403228998184204,0.869101345539093
tabarena_diamonds,carte,tabdpt,300,768,0.7437199107202903,0.5448092222213745,0.7175637483596802
tabarena_hazelnut-spread-contaminant-detection,carte,tabdpt,300,768,0.6177446993161273,0.5871821045875549,0.7865901589393616
tabarena_healthcare_insurance_expenses,carte,tabdpt,300,768,0.14080478676730462,0.047937728464603424,1.0961748361587524
tabarena_heloc,carte,tabdpt,300,768,0.7682844534897707,0.4305005371570587,0.807237446308136
tabarena_hiva_agnostic,carte,tabdpt,300,768,0.15949873788589689,0.13171875476837158,1.2537113428115845
tabarena_houses,carte,tabdpt,300,768,0.3694510737047949,-0.27707627415657043,0.9492049813270569
